"path","exact","attributes_exact","max_absolute","changed_finite","nonfinite_exact"
"/phong FALSE/all/uvz",TRUE,TRUE,0,0,TRUE
"/phong FALSE/raw_depth",TRUE,TRUE,0,0,TRUE
"/phong FALSE/normals",TRUE,TRUE,0,0,TRUE
"/phong FALSE/uv",TRUE,TRUE,0,0,TRUE
"/phong FALSE/position",TRUE,TRUE,0,0,TRUE
"/phong FALSE/depth",TRUE,TRUE,0,0,TRUE
"/phong TRUE/none",TRUE,TRUE,0,0,TRUE
"/phong TRUE/all/r",TRUE,TRUE,0,0,TRUE
"/phong TRUE/all/g",TRUE,TRUE,0,0,TRUE
"/phong TRUE/all/b",TRUE,TRUE,0,0,TRUE
"/phong TRUE/all/a",TRUE,TRUE,0,0,TRUE
"/phong TRUE/all/amb",TRUE,TRUE,0,0,TRUE
"/phong TRUE/all/depth",TRUE,TRUE,0,0,TRUE
"/phong TRUE/all/linear_depth",TRUE,TRUE,0,0,TRUE
"/phong TRUE/all/normalx",TRUE,TRUE,0,0,TRUE
"/phong TRUE/all/normaly",TRUE,TRUE,0,0,TRUE
"/phong TRUE/all/normalz",TRUE,TRUE,0,0,TRUE
"/phong TRUE/all/positionx",TRUE,TRUE,0,0,TRUE
"/phong TRUE/all/positiony",TRUE,TRUE,0,0,TRUE
"/phong TRUE/all/positionz",TRUE,TRUE,0,0,TRUE
"/phong TRUE/all/uvx",TRUE,TRUE,0,0,TRUE
"/phong TRUE/all/uvy",TRUE,TRUE,0,0,TRUE
"/phong TRUE/all/uvz",TRUE,TRUE,0,0,TRUE
"/phong TRUE/raw_depth",TRUE,TRUE,0,0,TRUE
"/phong TRUE/normals",TRUE,TRUE,0,0,TRUE
"/phong TRUE/uv",TRUE,TRUE,0,0,TRUE
"/phong TRUE/position",TRUE,TRUE,0,0,TRUE
"/phong TRUE/depth",TRUE,TRUE,0,0,TRUE
"/color FALSE/none",TRUE,TRUE,0,0,TRUE
"/color FALSE/all/r",TRUE,TRUE,0,0,TRUE
"/color FALSE/all/g",TRUE,TRUE,0,0,TRUE
"/color FALSE/all/b",TRUE,TRUE,0,0,TRUE
"/color FALSE/all/a",TRUE,TRUE,0,0,TRUE
"/color FALSE/all/amb",TRUE,TRUE,0,0,TRUE
"/color FALSE/all/depth",TRUE,TRUE,0,0,TRUE
"/color FALSE/all/linear_depth",TRUE,TRUE,0,0,TRUE
"/color FALSE/all/normalx",TRUE,TRUE,0,0,TRUE
"/color FALSE/all/normaly",TRUE,TRUE,0,0,TRUE
"/color FALSE/all/normalz",TRUE,TRUE,0,0,TRUE
"/color FALSE/all/positionx",TRUE,TRUE,0,0,TRUE
"/color FALSE/all/positiony",TRUE,TRUE,0,0,TRUE
"/color FALSE/all/positionz",TRUE,TRUE,0,0,TRUE
"/color FALSE/all/uvx",TRUE,TRUE,0,0,TRUE
"/color FALSE/all/uvy",TRUE,TRUE,0,0,TRUE
"/color FALSE/all/uvz",TRUE,TRUE,0,0,TRUE
"/color FALSE/raw_depth",TRUE,TRUE,0,0,TRUE
"/color FALSE/normals",TRUE,TRUE,0,0,TRUE
"/color FALSE/uv",TRUE,TRUE,0,0,TRUE
"/color FALSE/position",TRUE,TRUE,0,0,TRUE
"/color FALSE/depth",TRUE,TRUE,0,0,TRUE
"/color TRUE/none",TRUE,TRUE,0,0,TRUE
