"case","buffer","exact","max_absolute","mean_absolute","changed_samples","nonfinite_mismatch","attributes_identical"
"diffuse TRUE/raw_depth","image",TRUE,0,0,0,0,TRUE
"diffuse TRUE/normals","image",TRUE,0,0,0,0,TRUE
"diffuse TRUE/uv","image",TRUE,0,0,0,0,TRUE
"diffuse TRUE/position","image",TRUE,0,0,0,0,TRUE
"diffuse TRUE/depth","image",TRUE,0,0,0,0,TRUE
"phong FALSE/none","image",TRUE,0,0,0,0,TRUE
"phong FALSE/all","r",TRUE,0,0,0,0,TRUE
"phong FALSE/all","g",TRUE,0,0,0,0,TRUE
"phong FALSE/all","b",TRUE,0,0,0,0,TRUE
"phong FALSE/all","a",TRUE,0,0,0,0,TRUE
"phong FALSE/all","amb",TRUE,0,0,0,0,TRUE
"phong FALSE/all","depth",TRUE,0,0,0,0,TRUE
"phong FALSE/all","linear_depth",TRUE,0,0,0,0,TRUE
"phong FALSE/all","normalx",TRUE,0,0,0,0,TRUE
"phong FALSE/all","normaly",TRUE,0,0,0,0,TRUE
"phong FALSE/all","normalz",TRUE,0,0,0,0,TRUE
"phong FALSE/all","positionx",TRUE,0,0,0,0,TRUE
"phong FALSE/all","positiony",TRUE,0,0,0,0,TRUE
"phong FALSE/all","positionz",TRUE,0,0,0,0,TRUE
"phong FALSE/all","uvx",TRUE,0,0,0,0,TRUE
"phong FALSE/all","uvy",TRUE,0,0,0,0,TRUE
"phong FALSE/all","uvz",TRUE,0,0,0,0,TRUE
"phong FALSE/raw_depth","image",TRUE,0,0,0,0,TRUE
"phong FALSE/normals","image",TRUE,0,0,0,0,TRUE
"phong FALSE/uv","image",TRUE,0,0,0,0,TRUE
"phong FALSE/position","image",TRUE,0,0,0,0,TRUE
"phong FALSE/depth","image",TRUE,0,0,0,0,TRUE
"phong TRUE/none","image",TRUE,0,0,0,0,TRUE
"phong TRUE/all","r",TRUE,0,0,0,0,TRUE
"phong TRUE/all","g",TRUE,0,0,0,0,TRUE
"phong TRUE/all","b",TRUE,0,0,0,0,TRUE
"phong TRUE/all","a",TRUE,0,0,0,0,TRUE
"phong TRUE/all","amb",TRUE,0,0,0,0,TRUE
"phong TRUE/all","depth",TRUE,0,0,0,0,TRUE
"phong TRUE/all","linear_depth",TRUE,0,0,0,0,TRUE
"phong TRUE/all","normalx",TRUE,0,0,0,0,TRUE
"phong TRUE/all","normaly",TRUE,0,0,0,0,TRUE
"phong TRUE/all","normalz",TRUE,0,0,0,0,TRUE
"phong TRUE/all","positionx",TRUE,0,0,0,0,TRUE
"phong TRUE/all","positiony",TRUE,0,0,0,0,TRUE
"phong TRUE/all","positionz",TRUE,0,0,0,0,TRUE
"phong TRUE/all","uvx",TRUE,0,0,0,0,TRUE
"phong TRUE/all","uvy",TRUE,0,0,0,0,TRUE
"phong TRUE/all","uvz",TRUE,0,0,0,0,TRUE
"phong TRUE/raw_depth","image",TRUE,0,0,0,0,TRUE
"phong TRUE/normals","image",TRUE,0,0,0,0,TRUE
"phong TRUE/uv","image",TRUE,0,0,0,0,TRUE
"phong TRUE/position","image",TRUE,0,0,0,0,TRUE
"phong TRUE/depth","image",TRUE,0,0,0,0,TRUE
"color FALSE/none","image",TRUE,0,0,0,0,TRUE
"color FALSE/all","r",TRUE,0,0,0,0,TRUE
"color FALSE/all","g",TRUE,0,0,0,0,TRUE
"color FALSE/all","b",TRUE,0,0,0,0,TRUE
"color FALSE/all","a",TRUE,0,0,0,0,TRUE
"color FALSE/all","amb",TRUE,0,0,0,0,TRUE
"color FALSE/all","depth",TRUE,0,0,0,0,TRUE
"color FALSE/all","linear_depth",TRUE,0,0,0,0,TRUE
"color FALSE/all","normalx",TRUE,0,0,0,0,TRUE
"color FALSE/all","normaly",TRUE,0,0,0,0,TRUE
"color FALSE/all","normalz",TRUE,0,0,0,0,TRUE
"color FALSE/all","positionx",TRUE,0,0,0,0,TRUE
"color FALSE/all","positiony",TRUE,0,0,0,0,TRUE
"color FALSE/all","positionz",TRUE,0,0,0,0,TRUE
"color FALSE/all","uvx",TRUE,0,0,0,0,TRUE
"color FALSE/all","uvy",TRUE,0,0,0,0,TRUE
"color FALSE/all","uvz",TRUE,0,0,0,0,TRUE
"color FALSE/raw_depth","image",TRUE,0,0,0,0,TRUE
"color FALSE/normals","image",TRUE,0,0,0,0,TRUE
"color FALSE/uv","image",TRUE,0,0,0,0,TRUE
"color FALSE/position","image",TRUE,0,0,0,0,TRUE
"color FALSE/depth","image",TRUE,0,0,0,0,TRUE
"color TRUE/none","image",TRUE,0,0,0,0,TRUE
"color TRUE/all","r",TRUE,0,0,0,0,TRUE
"color TRUE/all","g",TRUE,0,0,0,0,TRUE
"color TRUE/all","b",TRUE,0,0,0,0,TRUE
"color TRUE/all","a",TRUE,0,0,0,0,TRUE
"color TRUE/all","amb",TRUE,0,0,0,0,TRUE
"color TRUE/all","depth",TRUE,0,0,0,0,TRUE
"color TRUE/all","linear_depth",TRUE,0,0,0,0,TRUE
"color TRUE/all","normalx",TRUE,0,0,0,0,TRUE
"color TRUE/all","normaly",TRUE,0,0,0,0,TRUE
"color TRUE/all","normalz",TRUE,0,0,0,0,TRUE
"color TRUE/all","positionx",TRUE,0,0,0,0,TRUE
"color TRUE/all","positiony",TRUE,0,0,0,0,TRUE
"color TRUE/all","positionz",TRUE,0,0,0,0,TRUE
"color TRUE/all","uvx",TRUE,0,0,0,0,TRUE
"color TRUE/all","uvy",TRUE,0,0,0,0,TRUE
"color TRUE/all","uvz",TRUE,0,0,0,0,TRUE
"color TRUE/raw_depth","image",TRUE,0,0,0,0,TRUE
"color TRUE/normals","image",TRUE,0,0,0,0,TRUE
"color TRUE/uv","image",TRUE,0,0,0,0,TRUE
"color TRUE/position","image",TRUE,0,0,0,0,TRUE
"color TRUE/depth","image",TRUE,0,0,0,0,TRUE
"toon FALSE/none","image",TRUE,0,0,0,0,TRUE
"toon FALSE/all","r",TRUE,0,0,0,0,TRUE
"toon FALSE/all","g",TRUE,0,0,0,0,TRUE
"toon FALSE/all","b",TRUE,0,0,0,0,TRUE
"toon FALSE/all","a",TRUE,0,0,0,0,TRUE
"toon FALSE/all","amb",TRUE,0,0,0,0,TRUE
"toon FALSE/all","depth",TRUE,0,0,0,0,TRUE
"toon FALSE/all","linear_depth",TRUE,0,0,0,0,TRUE
"toon FALSE/all","normalx",TRUE,0,0,0,0,TRUE
"toon FALSE/all","normaly",TRUE,0,0,0,0,TRUE
"toon FALSE/all","normalz",TRUE,0,0,0,0,TRUE
"toon FALSE/all","positionx",TRUE,0,0,0,0,TRUE
"toon FALSE/all","positiony",TRUE,0,0,0,0,TRUE
"toon FALSE/all","positionz",TRUE,0,0,0,0,TRUE
"toon FALSE/all","uvx",TRUE,0,0,0,0,TRUE
"toon FALSE/all","uvy",TRUE,0,0,0,0,TRUE
"toon FALSE/all","uvz",TRUE,0,0,0,0,TRUE
"toon FALSE/raw_depth","image",TRUE,0,0,0,0,TRUE
"toon FALSE/normals","image",TRUE,0,0,0,0,TRUE
"toon FALSE/uv","image",TRUE,0,0,0,0,TRUE
"toon FALSE/position","image",TRUE,0,0,0,0,TRUE
"toon FALSE/depth","image",TRUE,0,0,0,0,TRUE
"toon TRUE/none","image",TRUE,0,0,0,0,TRUE
"toon TRUE/all","r",TRUE,0,0,0,0,TRUE
"toon TRUE/all","g",TRUE,0,0,0,0,TRUE
"toon TRUE/all","b",TRUE,0,0,0,0,TRUE
"toon TRUE/all","a",TRUE,0,0,0,0,TRUE
"toon TRUE/all","amb",TRUE,0,0,0,0,TRUE
"toon TRUE/all","depth",TRUE,0,0,0,0,TRUE
"toon TRUE/all","linear_depth",TRUE,0,0,0,0,TRUE
"toon TRUE/all","normalx",TRUE,0,0,0,0,TRUE
"toon TRUE/all","normaly",TRUE,0,0,0,0,TRUE
"toon TRUE/all","normalz",TRUE,0,0,0,0,TRUE
"toon TRUE/all","positionx",TRUE,0,0,0,0,TRUE
"toon TRUE/all","positiony",TRUE,0,0,0,0,TRUE
"toon TRUE/all","positionz",TRUE,0,0,0,0,TRUE
"toon TRUE/all","uvx",TRUE,0,0,0,0,TRUE
"toon TRUE/all","uvy",TRUE,0,0,0,0,TRUE
"toon TRUE/all","uvz",TRUE,0,0,0,0,TRUE
"toon TRUE/raw_depth","image",TRUE,0,0,0,0,TRUE
"toon TRUE/normals","image",TRUE,0,0,0,0,TRUE
"toon TRUE/uv","image",TRUE,0,0,0,0,TRUE
"toon TRUE/position","image",TRUE,0,0,0,0,TRUE
"toon TRUE/depth","image",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/none","image",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/all","r",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/all","g",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/all","b",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/all","a",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/all","amb",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/all","depth",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/all","linear_depth",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/all","normalx",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/all","normaly",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/all","normalz",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/all","positionx",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/all","positiony",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/all","positionz",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/all","uvx",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/all","uvy",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/all","uvz",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/raw_depth","image",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/normals","image",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/uv","image",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/position","image",TRUE,0,0,0,0,TRUE
"toon_phong FALSE/depth","image",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/none","image",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/all","r",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/all","g",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/all","b",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/all","a",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/all","amb",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/all","depth",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/all","linear_depth",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/all","normalx",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/all","normaly",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/all","normalz",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/all","positionx",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/all","positiony",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/all","positionz",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/all","uvx",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/all","uvy",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/all","uvz",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/raw_depth","image",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/normals","image",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/uv","image",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/position","image",TRUE,0,0,0,0,TRUE
"toon_phong TRUE/depth","image",TRUE,0,0,0,0,TRUE
"ssao/none","image",TRUE,0,0,0,0,TRUE
"ssao/all","r",TRUE,0,0,0,0,TRUE
"ssao/all","g",TRUE,0,0,0,0,TRUE
"ssao/all","b",TRUE,0,0,0,0,TRUE
"ssao/all","a",TRUE,0,0,0,0,TRUE
"ssao/all","amb",TRUE,0,0,0,0,TRUE
"ssao/all","depth",TRUE,0,0,0,0,TRUE
"ssao/all","linear_depth",TRUE,0,0,0,0,TRUE
"ssao/all","normalx",TRUE,0,0,0,0,TRUE
"ssao/all","normaly",TRUE,0,0,0,0,TRUE
"ssao/all","normalz",TRUE,0,0,0,0,TRUE
"ssao/all","positionx",TRUE,0,0,0,0,TRUE
"ssao/all","positiony",TRUE,0,0,0,0,TRUE
"ssao/all","positionz",TRUE,0,0,0,0,TRUE
"ssao/all","uvx",TRUE,0,0,0,0,TRUE
"ssao/all","uvy",TRUE,0,0,0,0,TRUE
"ssao/all","uvz",TRUE,0,0,0,0,TRUE
"ssao/raw_depth","image",TRUE,0,0,0,0,TRUE
"ssao/normals","image",TRUE,0,0,0,0,TRUE
"ssao/uv","image",TRUE,0,0,0,0,TRUE
"ssao/position","image",TRUE,0,0,0,0,TRUE
"ssao/depth","image",TRUE,0,0,0,0,TRUE
"orthographic/none","image",TRUE,0,0,0,0,TRUE
"orthographic/all","r",TRUE,0,0,0,0,TRUE
"orthographic/all","g",TRUE,0,0,0,0,TRUE
"orthographic/all","b",TRUE,0,0,0,0,TRUE
"orthographic/all","a",TRUE,0,0,0,0,TRUE
"orthographic/all","amb",TRUE,0,0,0,0,TRUE
"orthographic/all","depth",FALSE,4.02759440518765,1.74521147806431,760,0,TRUE
"orthographic/all","linear_depth",FALSE,4.0168521773447,1.67759397594359,1551,0,TRUE
